Прізвище Ім'я По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Малишко Степан Єлисейович,Чоловіча,1965-10-26,Директор,місто Любомль,"шосе Молодогвардійська, буд. 21, Кам'янець-Подільський, 41656",027 221 31 72,tarasenkozynovii@example.org
Теличенко Петро Володимирович,Чоловіча,2003-03-19,Аналітик,селище Лубни,"сквер Лиманчик 2-й Лінія 8-ма, буд. 36, Нова Каховка, 94379",+380 63 839-95-08,xholoborodko@example.com
Устенко Герман Кирилович,Чоловіча,1992-02-04,Програміст,селище Канів,"провулок Лінія 52-га, буд. 55, Обухів, 22720",055 492-20-90,prokopovychalla@example.net
Бандурка Надія Аврелійовна,Жіноча,1976-11-04,Програміст,хутір Новгород-Сіверський,"сквер Глазунова 1-й, буд. 91 кв. 62, Сокаль, 84213",660-64-82,wvyshyvanyi@example.org
Яремків Дмитро Орестович,Чоловіча,1985-08-20,Аналітик,село Кам'янець-Подільський,"вулиця Молодіжна, буд. 31 кв. 59, Брянка, 50326",+380 84 593 40 80,rhuk@example.org
Удовенко Ірина Тарасівна,Жіноча,1972-05-07,Аналітик,селище Вуглегірськ,"площа Деволанівська, буд. 623 кв. 776, Пологи , 10848",+380 73 445-87-14,oleshupalo@example.net
Данильчук Дарина Володимирівна,Жіноча,1970-11-08,Менеджер,селище Новий Розділ,"провулок Бригадна, буд. 179, Глухів, 90821",+380 50 913-73-53,taransvitlana@example.org
Абраменко Вадим Аркадійович,Чоловіча,2008-06-18,Програміст,село Коростишів,"узвіз Гастелло, буд. 21 кв. 0, Благовіщенське, 11239",+380 (15) 902-37-67,ielysavetamykhaliuk@example.com
Авдєєнко Віктор Симонович,Чоловіча,1942-11-26,Аналітик,селище Белз,"парк Академіка Векслера, буд. 5 кв. 18, Вишгород, 35710",+380 (24) 705-16-52,jkonoplenko@example.com
Матяш Олег Трохимович,Чоловіча,2006-10-21,Аналітик,хутір Чугуїв,"набережна Травневий 5-й, буд. 9 кв. 31, Бердичів, 54222",638-69-06,ielysavetarak@example.org
Бакуменко Амалія Данилівна,Жіноча,1967-07-31,Аналітик,селище Довжанськ,"сквер Рекордний, буд. 3 кв. 2, Тростянець, 80257",+380 74 713-04-31,viktoriiazakusylo@example.net
Колісниченко Зорян Арсенович,Чоловіча,1958-03-25,Аналітик,хутір Рава-Руська,"вулиця Промисловий, буд. 68 кв. 32, Скалат, 99038",448-11-30,adam48@example.com
Рудько Григорій Олексович,Чоловіча,1941-01-05,Директор,хутір Новояворівськ,"площа Розкидайлівська, буд. 8 кв. 1, Ананьїв, 78421",+380 (88) 450-26-28,les66@example.net
Тичина Павло Теодорович,Чоловіча,1961-12-05,Аналітик,селище Ходорів,"площа Південна дорога, буд. 084, Винники, 19246",364 16 42,marusiashchors@example.org
Абрагамовський Миколай Михайлович,Чоловіча,1941-06-16,Аналітик,село Бурштин ,"узвіз Гранатна, буд. 1 кв. 45, Погребище, 90395",030-32-24,trokhymshyian@example.com
Абрамчук Дан Єлисейович,Чоловіча,1960-10-30,Менеджер,село Чуднів,"проспект Цимлянська, буд. 556, Тлумач, 71321",+380 (37) 437-73-22,skashchenko@example.com
Бандура Аліна Леонтіївна,Жіноча,1993-11-30,Менеджер,село Ізюм,"проспект Пересипська 7-ма, буд. 428, Феодосія, 87415",+380 27 591 37 54,artymyshyndemian@example.net
Артюх Григорій Юхимович,Чоловіча,1989-04-02,Менеджер,місто Лутугине,"набережна Чорноморка, буд. 58 кв. 3, Сімферополь, 41509",076 708-02-00,yderehus@example.com
Гайдамака Сніжана Орхипівна,Жіноча,1961-06-08,Директор,селище Географія Вільнянська,"сквер Скидановська, буд. 34, Перещепине, 41663",059 425 04 92,azarshablii@example.org
Євтушок Омелян Станіславович,Чоловіча,1964-09-08,Директор,селище Ромни,"парк Нова, буд. 87 кв. 373, Мена , 51657",659-12-26,ieshchenkoirena@example.org
Дашенко Надія Пилипівна,Жіноча,1999-08-14,Програміст,селище Помічна,"площа Достоєвського, буд. 14, Гайсин, 07282",314 90 27,hermankanivets@example.org
Ващенко-Захарченко Альбіна Панасівна,Жіноча,1942-09-10,Аналітик,село Славутич,"площа Дюківський сад, буд. 6 кв. 3, Заставна, 85184",077 734 59 03,dmytrodrozdenko@example.net
Щириця Кирило Омелянович,Чоловіча,2004-06-29,Менеджер,місто Південне ,"узвіз Красних Зорь, буд. 5, Миронівка, 77615",004 910-28-56,hryhoriikaras@example.net
Алексюк Ганна Венедиктівна,Жіноча,1954-03-10,Програміст,місто Вугледар,"площа Сабанський, буд. 99, Першотравенськ, 38489",+380 94 214 95 10,orysiadubyna@example.com
Проценко Максим Йосипович,Чоловіча,1993-04-23,Аналітик,хутір Ізмаїл,"узвіз Сибірська, буд. 59 кв. 7, Ладижин, 66065",047 058 60 07,dannahavryshkevych@example.com
Гавриш Данна Леонідівна,Жіноча,1977-05-14,Аналітик,селище Алушта,"парк Ломоносова, буд. 158 кв. 308, Інкерман, 69086",018 516 17 77,leonchernenko@example.net
Щорс Орися Владиславівна,Жіноча,1950-10-20,Менеджер,місто Євпаторія,"набережна Долинська, буд. 42 кв. 11, Монастириська, 07200",+380 72 362-07-59,gkalchenko@example.org
Сагаль Мирон Остапович,Чоловіча,2008-08-28,Директор,село Новомиргород,"шосе Нечипуренка, буд. 8 кв. 06, Буринь, 61284",071 928 35 62,iaroshonysym@example.org
Жаліло Аврелій Єлисейович,Чоловіча,1984-02-09,Менеджер,село Покров,"сквер Аркадійська, буд. 0, Оріхів, 60586",414 74 33,ievhenkovalenko@example.org
Мазепа Давид Юстимович,Чоловіча,1964-05-24,Менеджер,село Вознесенівка,"провулок Виставочна, буд. 131, Лиман , 13300",+380 92 478-31-38,dkhorishko@example.org
Баранець Ярина Захарівна,Жіноча,1942-01-01,Аналітик,хутір Коростень,"набережна 15-та ст. Великого Фонтану пляж, буд. 1 кв. 39, Кадіївка, 67161",092 943 89 86,klavdiia01@example.com
Юхименко Галина Омелянівна,Жіноча,1992-12-03,Менеджер,хутір Ірміно,"вулиця Новоберегова, буд. 9, Соледар, 56896",042 384-86-91,dzhusviacheslav@example.com
Фартушняк Ольга Миколаївна,Жіноча,1980-08-02,Директор,селище Новгород-Сіверський,"сквер Полтавська, буд. 36 кв. 190, Олександрівськ, 78118",+380 (22) 499-66-73,ihor63@example.org
Рудик Мирослав Валентинович,Чоловіча,1951-06-22,Аналітик,село Берислав,"набережна Дмитрія Донського, буд. 103, Іршава, 99925",830 04 70,leonidbabych@example.org
Фесенко Роксолана Варфоломіївна,Жіноча,1989-11-24,Аналітик,хутір Овруч,"проспект Басейний 6-й, буд. 8, Костопіль, 83276",+380 59 202 99 24,liza90@example.net
Демʼянюк Юстина Миронівна,Жіноча,1968-12-01,Аналітик,селище Обухів,"узвіз Лінія 45-та, буд. 342 кв. 7, Чорнобиль, 75867",+380 08 815-13-42,stelmakhleon@example.net
Ємець Аліна Станіславівна,Жіноча,1958-04-21,Менеджер,село Покров,"вулиця Могилівська, буд. 673, Ялта, 40375",295-47-00,ielyseitkachenko@example.net
Павленко Тарас Альбертович,Чоловіча,1999-12-15,Директор,хутір Алчевськ,"набережна Зої Космодем’янської, буд. 74 кв. 151, Луганськ, 83442",429 47 79,akymenkoillia@example.com
Тесленко Єфрем Віталійович,Чоловіча,2000-10-29,Аналітик,село Щастя ,"площа Лінія 39-та, буд. 999, Володимир-Волинський, 59673",+380 (30) 636-70-26,onufriienkoleonid@example.net
Алексюк Альбіна Григоріївна,Жіноча,2004-01-30,Директор,село Корець,"парк Єврейська, буд. 11, Амвросіївка, 26753",722 26 49,rozaliia26@example.net
Гаврилюк Альбіна Августинівна,Жіноча,1948-08-24,Менеджер,хутір Ананьїв,"парк Академіка Заболотного, буд. 1, Алчевськ, 23104",+380 84 096-23-40,bohdanna63@example.net
Шморгун Пармен Максимович,Чоловіча,1960-05-30,Програміст,селище Острог,"площа Василя Кандинського 2-й, буд. 458 кв. 996, Мерефа, 34712",937-29-46,cnestaiko@example.org
Пʼятаченко Роман Несторович,Чоловіча,1982-01-22,Директор,місто Запоріжжя,"провулок Митракова, буд. 097, Генічеськ, 11222",374 22 13,hryhorii92@example.net
Михайличенко Олена Артемівна,Жіноча,1990-10-03,Менеджер,місто Угнів,"провулок Оранжерейний, буд. 25, Сміла, 38223",018-13-89,inalyvaiko@example.com
Голобородько Камілла Павлівна,Жіноча,1967-07-20,Аналітик,селище Болехів,"проспект Панаса Мирного, буд. 99, Нове Давидково, 88762",156 88 43,zynovii82@example.com
Стець Кирило Веніяминович,Чоловіча,1939-02-27,Аналітик,село Сімферополь,"сквер Лінія 25-та, буд. 657, Вовчанськ, 12052",+380 35 308-74-55,sviatoslav68@example.com
Щорс Володимира Святославівна,Жіноча,1969-08-04,Директор,місто Білгород-Дністровський,"провулок Віцеадмірала Азарова, буд. 4 кв. 7, Горлівка, 35635",+380 00 234-53-95,arkadii03@example.net
Палій Юстина Васильівна,Жіноча,2000-01-02,Програміст,хутір Долинська,"проспект Супутників, буд. 7 кв. 790, Жидачів, 49945",+380 (03) 759-39-05,vasylyna85@example.com
Гречко Гордій Бориславович,Чоловіча,1941-02-27,Директор,місто Вишневе ,"провулок Хімічний 1-й, буд. 31, Вишгород, 18046",011 707-90-98,khrystyna78@example.net
Тесленко Данна Ігнатівна,Жіноча,1962-09-29,Програміст,хутір Узин,"вулиця Східний 2-й, буд. 0 кв. 1, Теплодар, 14180",727 80 55,spaskorzh@example.com
Шморгун Пилип Стефанович,Чоловіча,1995-01-23,Директор,селище Богодухів,"площа Львівська, буд. 61, Червоносів, 90951",+380 47 762-08-85,martyndrobakha@example.org
Сиротенко Тарас Пилипович,Чоловіча,1998-02-19,Директор,село Щолкіне,"проспект Василя Кандинського, буд. 8, Обухів, 96856",+380 82 434-54-28,ieshchenkoirena@example.org
Яремко Алевтин Трохимович,Чоловіча,1970-12-07,Менеджер,хутір Валки ,"сквер Амурський 1-й, буд. 958 кв. 560, Вашківці, 35038",089 325 51 19,plukash@example.org
Сімашкевич Онисим Остапович,Чоловіча,1942-01-26,Аналітик,хутір Вовчанськ,"набережна Кедровий, буд. 0 кв. 89, Устилуг, 88539",+380 (87) 181-33-78,zlatoslavaartiukh@example.com
Туркало Олесь Варфоломійович,Чоловіча,1965-02-27,Директор,хутір Торецьк,"узвіз Старорізнична, буд. 4 кв. 1, Теплодар, 03950",825-55-10,vasylashkonataliia@example.net
Байрак Віолетта Пилипівна,Жіноча,1958-11-17,Програміст,місто Южне,"парк Красних Зорь, буд. 60, Бережани, 98130",+380 (17) 713-56-36,vvasylechko@example.org
Полтавець Юстим Олесьович,Чоловіча,1974-08-26,Директор,хутір Свалява,"вулиця Перша, буд. 813, Заставна, 94802",+380 88 990-35-27,echmil@example.com
Івасюк Володимира Юстимівна,Жіноча,1987-04-06,Програміст,місто Добромиль,"шосе Соборна, буд. 95, Тячів, 50675",+380 21 338-37-64,liza28@example.com
Твердохліб Левко Валентинович,Чоловіча,1967-05-28,Директор,хутір Заставна,"провулок Проїзний 3-й, буд. 9, Святогірськ, 91088",089 594-93-46,ponyshchenko@example.net
Тарасенко Богдан Георгійович,Чоловіча,1995-07-27,Програміст,село Горлівка,"провулок Локомотивний 4-й, буд. 6, Збараж, 18883",+380 (55) 770-30-98,iashchenkoleontii@example.net
Аврамчук Геннадій Кирилович,Чоловіча,1978-03-29,Програміст,хутір Сніжне,"провулок Лютневий 1-й, буд. 13 кв. 3, Гола Пристань, 25999",+380 98 536-70-59,cbabych@example.net
Чайка Віолетта Леонідівна,Жіноча,1951-12-28,Директор,село Дубляни,"проспект Старосінна, буд. 192, Жданівка, 75645",+380 50 004 95 22,amaliia56@example.net
Онуфрієнко Пріска Спасівна,Жіноча,1957-05-17,Програміст,село Ірміно,"шосе Житкова, буд. 940, Жданівка, 18862",+380 09 002-93-19,zabashtaartem@example.net
Забіла Франц Андрійович,Чоловіча,1961-03-12,Програміст,село Світлодарськ,"парк Далекосхідна, буд. 280 кв. 94, Шумськ, 57605",013 511-61-70,ozhuchenko@example.org
Чуприна Надія Орестівна,Жіноча,1971-04-22,Програміст,місто Євпаторія,"провулок Кривобалківська, буд. 158 кв. 3, Гадяч, 79858",765-39-02,udovychenkoihor@example.com
Височан Зорян Стефанович,Чоловіча,1989-03-01,Директор,село Добропілля,"набережна Уральський, буд. 965, Енергодар, 05233",+380 09 055-47-08,danylo44@example.org
Яремків Марія Несторівна,Жіноча,1992-05-25,Аналітик,селище Попасна,"узвіз Авдєєва-Чорноморського, буд. 4 кв. 297, Обухів, 81657",029 174 75 53,pazhazha@example.com
Килимник Богуслава Демидівна,Жіноча,2005-09-05,Директор,селище Антрацит ,"площа Радісна, буд. 87 кв. 52, Краматорськ, 90983",272 01 65,bhaidamaka@example.com
Щорс Володимир Стефанович,Чоловіча,1968-06-17,Менеджер,місто Ананьїв,"узвіз Студентський 2-й, буд. 80 кв. 32, Тиврів, 45517",+380 28 225 21 74,wbazylevskyi@example.net
Жайворон Ігнат Михайлович,Чоловіча,1982-05-25,Аналітик,село Теплодар,"площа Майстерний, буд. 58 кв. 120, Першотравенськ, 88427",068 429 55 59,bohdanskorobohatko@example.com
Макогон Степан Амвросійович,Чоловіча,1990-03-31,Директор,хутір Добропілля,"узвіз Лиманна, буд. 065, Щолкіне, 65483",+380 44 191-79-03,bohuslava85@example.net
Жадан Адам Климентович,Чоловіча,1959-06-19,Аналітик,хутір Хотин,"сквер Ясна, буд. 2 кв. 020, Мирноград, 46201",524-41-82,rozaliiazasenko@example.org
Оберемко Ігнат Демидович,Чоловіча,1997-10-11,Директор,село Устилуг,"сквер Центральний аеропорт, буд. 808, Антрацит , 22215",092 519-69-23,gkhmara@example.net
Опанасенко Хома Богуславович,Чоловіча,1982-01-24,Аналітик,хутір Ясинувата,"вулиця Житкова, буд. 918, Іловайськ, 43589",383-54-40,onysym57@example.org
Парасюк Любов Болеславівна,Жіноча,1993-04-14,Аналітик,місто Вишневе ,"провулок Бугаївська, буд. 1, Снятин, 96168",070 650 65 90,arsendziuba@example.net
Ґерус Марина Орхипівна,Жіноча,1979-12-13,Аналітик,місто Херсон,"площа Собінова, буд. 929 кв. 8, Угнів, 40156",204-81-70,levko74@example.org
Артюшенко Яків Захарович,Чоловіча,1992-12-01,Директор,селище Вараш,"парк Кипарисний 1-й, буд. 19 кв. 9, Дубляни, 68024",098-78-61,danyloolifirenko@example.org
Лесик Ганна Остапівна,Жіноча,1967-02-19,Аналітик,місто Новояворівськ,"вулиця Старобазарний, буд. 64, Гірське, 20616",+380 46 968-24-84,ibabii@example.com
Андрієвич Михайло Яковович,Чоловіча,1976-01-22,Аналітик,хутір Галич,"узвіз Солонцюватий, буд. 62, Вінниця, 88214",+380 56 905-24-58,volodymyra97@example.net
Чумак Володимир Сергійович,Чоловіча,1996-10-30,Аналітик,село Роздільна,"шосе Краснова, буд. 969 кв. 73, Дрогобич, 81232",088 027 99 43,valeriiandriiovych@example.net
Влох Герман Артемович,Чоловіча,1943-01-06,Менеджер,хутір Судова Вишня,"узвіз Ракетна, буд. 151, Гірське, 20848",+380 54 328-67-84,avhustyn50@example.com
Аврамчук Ярина Геннадіївна,Жіноча,1975-07-07,Програміст,місто Приморськ (Україна),"проспект Асташкіна, буд. 623, Дебальцеве, 38100",059 365-98-74,iustymlavrenko@example.net
Швайка Єва Вадимівна,Жіноча,1988-09-28,Програміст,селище Кремінна,"вулиця 11-та Суворовська, буд. 2, Скалат, 28559",+380 24 439 80 77,viacheslavvashchenko@example.com
Вдовиченко Лариса Русланівна,Жіноча,1951-01-14,Директор,селище Мена ,"вулиця Могилівська, буд. 509 кв. 4, Первомайський , 55068",067 767 10 61,ieva89@example.org
Шаповал Владислав Ярославович,Чоловіча,1993-08-04,Директор,хутір Харків,"шосе Вітчизняна, буд. 1, Рудки, 25051",411-11-72,iefrem26@example.com
Штокало Камілла Святославівна,Жіноча,1967-05-31,Програміст,місто Валки ,"проспект Тимірязєва 3-й, буд. 6, Дружківка, 96137",132 97 85,qcharnysh@example.net
Піддубна Пріска Симонівна,Жіноча,1983-05-05,Аналітик,селище Золотоноша,"узвіз Лінія 38-ма, буд. 92 кв. 57, Гуляйполе, 64603",552 14 55,ddashkevych@example.net
Петренко Роман Миронович,Чоловіча,1954-05-22,Менеджер,село Бар,"сквер Сімферопольська, буд. 3 кв. 73, Харцизьк, 74411",150-95-40,parasiukolha@example.org
Орлик Азар Августинович,Чоловіча,1980-05-10,Програміст,хутір Обухів,"вулиця Кощового отамана, буд. 50 кв. 64, Борзна, 70735",711 12 19,jandrusenko@example.org
Щербак Ольга Русланівна,Жіноча,1972-05-01,Директор,селище Судова Вишня,"сквер Чапаєва, буд. 14 кв. 9, Бердичів, 84603",031 632 67 32,klyment78@example.net
Шахрай Теодор Мартинович,Чоловіча,1960-12-01,Програміст,хутір Добропілля,"узвіз Єлисаветградський, буд. 20, Хмельницький, 69822",+380 82 099 21 29,heorhiihaidamaka@example.net
Єрченко Ярема Пантелеймонович,Чоловіча,1977-05-16,Програміст,село Комарно,"набережна Бахчева, буд. 8 кв. 5, Звенигородка, 64714",+380 (49) 648-19-01,haidaisvitlana@example.org
Андрійович Еріка Францівна,Жіноча,1957-08-10,Програміст,село Перевальськ,"узвіз Баркасний, буд. 622, Нова Каховка, 10481",+380 55 896-97-96,marianashtepa@example.net
Дашкевич Клавдія Макарівна,Жіноча,1980-09-15,Директор,місто Яремче,"шосе Панаса Мирного, буд. 016, Кальміуське, 55628",088 641 49 04,tsybulenkozakhar@example.net
Юрчук Омелян Яковович,Чоловіча,1997-08-09,Аналітик,село Сватове,"узвіз Лазурний 5-й, буд. 3, Гайсин, 56168",063 856-12-17,ielysaveta41@example.org
Ейбоженко Розалія Геннадіївна,Жіноча,1941-03-01,Менеджер,селище Світлодарськ,"набережна Ашгабатська, буд. 183 кв. 1, Ладижин, 63671",072 303-83-37,oleksavenhrynovych@example.org
Доценко Златослава Альбертівна,Жіноча,1988-09-15,Менеджер,селище Брянка,"набережна Десятого квітня, буд. 34, Перевальськ, 96329",+380 40 255-68-22,rsymonenko@example.com
Бабій Емілія Ігорівна,Жіноча,2006-03-15,Менеджер,селище Волочиськ,"набережна Амурський 1-й, буд. 3, Роздільна, 66499",+380 99 093 85 30,zorianparasiuk@example.org
Канівець Мирослав Святославович,Чоловіча,1980-02-24,Менеджер,хутір Червоносів,"набережна Кишинівська, буд. 01, Єнакієве, 55731",+380 (69) 868-63-14,leonievdokymenko@example.com
Ващенко Остап Михайлович,Чоловіча,1973-08-20,Програміст,хутір Сколе,"набережна Лінія 38-ма, буд. 019, Географія Вільнянська, 05900",026 172 70 50,rostyslavbaranyk@example.net
Ващенко-Захарченко Захар Андрійович,Чоловіча,1966-11-04,Аналітик,селище Мостиська,"вулиця Горизонтальна, буд. 812 кв. 260, Кодима, 66571",+380 17 234-51-95,xderiazhna@example.org
Микитюк Святослав Пилипович,Чоловіча,1994-04-10,Програміст,хутір Мукачево,"площа Самарська, буд. 51, Вишневе , 98072",+380 (18) 783-94-67,lkolesnychenko@example.net
Ґоляш Кирило Теодорович,Чоловіча,1958-10-05,Директор,селище Кривий Ріг,"вулиця Ясна, буд. 2 кв. 16, Шумськ, 18269",+380 (13) 416-80-15,bshukhevych@example.org
Шаповал Алевтин Тарасович,Чоловіча,2006-10-04,Аналітик,хутір Каховка,"набережна Бориса Дерев'янка, буд. 914 кв. 7, Чигирин, 24552",014 444 91 22,kyrylodubenko@example.com
Лагода Сергій Богодарович,Чоловіча,1991-06-01,Директор,селище Шахтарськ,"площа Ламаний, буд. 60 кв. 41, Ходорів, 42346",+380 08 204 58 22,havryshiryna@example.org
Чекалюк Орхип Альбертович,Чоловіча,1948-06-03,Директор,хутір Львів,"узвіз Канатна, буд. 5 кв. 706, Глухів, 64153",+380 22 202-96-34,wsavenko@example.net
Радченко Марʼяна Давидівна,Жіноча,1967-02-15,Директор,село Перемишляни,"вулиця Молокова, буд. 073, Заставна, 44397",024 107-10-27,petro13@example.com
